scdb_id,name,last,first,tenure_start,tenure_end,median_wikipedia_views,tenure
77,Benjamin Cardozo,Cardozo,Benjamin,03/14/1932,07/09/1938,7617.5,6
78,Hugo ?(?:Lafayette|L\.)? Black,Black,Hugo,08/19/1937,09/17/1971,12145.5,34
79,Stanley Reed,Reed,Stanley,01/31/1938,02/25/1957,2207.5,19
80,Felix Frankfurter,Frankfurter,Felix,01/30/1939,08/28/1962,11124.5,23
81,William Douglas,Douglas,William,04/17/1939,11/12/1975,21576.5,36
82,Frank Murphy,Murphy,Frank,02/05/1940,07/19/1949,5050.0,9
83,James Byrnes,Byrnes,James,07/08/1941,10/03/1942,7211.0,1
84,Robert ?(?:Houghwout|H\.)? Jackson,Jackson,Robert,07/11/1941,10/09/1954,11145.5,13
85,Wiley Rutledge,Rutledge,Wiley,02/15/1943,09/10/1949,1480.0,6
86,Harold Burton,Burton,Harold,10/01/1945,10/13/1958,152.5,13
87,Fred Vinson,Vinson,Fred,06/24/1946,09/08/1953,5693.5,7
88,(?:Thomas|Tom) ?(?:C\.)? Clark,Clark,Thomas,08/24/1949,06/12/1967,5072.0,18
89,Sherman Minton,Minton,Sherman,10/12/1949,10/15/1956,2518.5,7
90,Earl Warren,Warren,Earl,10/05/1953,06/23/1969,33434.5,16
91,John ?(?:Marshall)? Harlan II,Harlan II,John,03/28/1955,09/23/1971,5170.5,16
92,William ?(?:Joseph|J\.)? Brennan,Brennan,William,10/16/1956,07/20/1990,10395.0,34
93,Charles Whittaker,Whittaker,Charles,03/25/1957,03/31/1962,2411.5,5
94,Potter Stewart,Stewart,Potter,10/14/1958,07/03/1981,8309.5,23
95,Byron ?(?:R\.)? White,White,Byron,04/16/1962,06/28/1993,16060.0,31
96,Arthur Goldberg,Goldberg,Arthur,10/01/1962,07/25/1965,6020.0,3
97,Abe Fortas,Fortas,Abe,10/04/1965,05/14/1969,7518.5,4
98,Thurgood Marshall,Marshall,Thurgood,10/02/1967,10/01/1991,70916.5,24
99,Warren ?(?:Earl|E\.)? Burger,Burger,Warren,06/23/1969,09/26/1986,14252.5,17
100,Harry ?(?:Andrew|A\.)? Blackmun,Blackmun,Harry,06/09/1970,08/03/1994,10354.0,24
101,Lewis ?(?:Franklin|F\.)? Powell,Powell,Lewis,01/07/1972,06/26/1987,9845.0,15
102,William ?(?:Hubbs|H\.)? Rehnquist,Rehnquist,William,01/07/1972,09/03/2005,26395.5,33
103,John ?(?:Paul|P\.)? Stevens,Stevens,John,12/19/1975,06/29/2010,17053.0,35
104,Sandra ?(?:Day)? O'Connor,O'Connor,Sandra,09/25/1981,01/31/2006,43426.5,25
105,Antonin ?(?:Gregory|G\.)? Scalia,Scalia,Antonin,09/26/1986,02/13/2016,42189.5,30
106,Anthony ?(?:McLeod|M\.)? Kennedy,Kennedy,Anthony,02/18/1988,07/31/2018,21337.5,30
107,David ?(?:Hackett|H\.)? Souter,Souter,David,10/09/1990,06/29/2009,14925.5,19
108,Clarence Thomas,Thomas,Clarence,10/23/1991,00/00/0000,115501.0,32
109,Ruth ?(?:Bader|B\.)? Ginsburg,Ginsburg,Ruth,08/10/1993,09/18/2020,115277.0,27
110,Stephen ?(?:Gerald|G\.)? Breyer,Breyer,Stephen,08/03/1994,06/30/2022,31446.0,28
111,John ?(?:Glover|G\.)? Roberts,Roberts,John,09/29/2005,00/00/0000,57689.0,18
112,Sam(?:uel)? ?(?:Anthony|A\.)? Alito,Alito,Samuel,01/31/2006,00/00/0000,44565.0,17
113,Sonia Sotomayor,Sotomayor,Sonia,08/08/2009,00/00/0000,62141.0,14
114,Elena Kagan,Kagan,Elena,08/07/2010,00/00/0000,35179.5,13
115,Neil Gorsuch,Gorsuch,Neil,04/08/2017,00/00/0000,31242.0,6
116,Brett Kavanaugh,Kavanaugh,Brett,10/06/2018,00/00/0000,53413.5,5
117,Amy ?(?:Coney)? Barrett,Barrett,Amy,10/27/2020,00/00/0000,57650.5,3
118,Ketanji ?(?:Brown)? Jackson,Jackson,Ketanji,06/30/2022,00/00/0000,82827.5,1
